"date","NGas","oil","coal"
2010-03-16,0.275,0.33,0.7
2010-03-17,-0.575,2.22,-0.75
2010-03-18,-0.05,-0.18,0.05
2010-03-19,-0.15,-0.48,0
2010-03-22,0.2,-0.62,0.1
2010-03-23,0.1,0.37,0.2
2010-03-24,0.13,-0.8,-0.1
2010-03-25,0.12,0.09,-0.15
2010-03-26,0.35,0.22,0
2010-03-29,-0.04,1.22,0.15
2010-03-30,-0.01,-0.12,0.55
2010-03-31,-0.15,1.04,1.35
2010-04-01,-0.27,1.68,0.1
2010-04-05,0,1.59,0
2010-04-06,0.57,0.54,2.65
2010-04-07,0.25,-0.16,-0.3
2010-04-08,-0.05,-0.92,0.3
2010-04-09,0.44,0.39,0.5
2010-04-12,0.06,-0.2,-1.2
2010-04-13,-0.2,-0.74,-1.35
2010-04-14,0.5,1.64,0.65
2010-04-15,0.05,0.94,-0.4
2010-04-16,-0.55,-0.01,-0.6
2010-04-19,-0.2,-1.83,0.95
2010-04-20,0,-0.24,0.8
2010-04-21,0.4,0.66,3.05
2010-04-22,-0.15,0.14,0.85
2010-04-23,-0.05,1.03,-0.45
2010-04-26,1,0.42,2.6
2010-04-27,1.49,-0.6,1.75
2010-04-28,-0.69,-0.85,-1.8
2010-04-29,-0.05,1.36,1.4
2010-04-30,-0.25,0.06,-1.2
2010-05-03,0,1.86,2.6
2010-05-04,1.65,-0.53,2.85
2010-05-05,-0.31,-3.1,-0.55
2010-05-06,0.87,-2.97,2.5
2010-05-07,0.52,-2.33,0.25
2010-05-10,0.07,1.11,0.25
2010-05-11,-0.8,-0.76,-1.35
2010-05-12,-0.19,0.72,-2
2010-05-13,-0.3,-0.04,0.25
2010-05-14,0.48,-1.68,-0.6
2010-05-17,-0.14,-1.53,-0.75
2010-05-18,0.55,-1.87,1.1
2010-05-19,-0.25,-2.1,-0.5
2010-05-20,0,-0.27,0.5
2010-05-21,0.2,-1.43,2
2010-05-24,0.63,-0.54,2.5
2010-05-25,-0.18,-1.31,-1.75
2010-05-26,0,1.13,-0.85
2010-05-27,-0.4,2.87,-0.3
2010-05-28,-0.17,0.79,-0.45
2010-05-31,0,-1.02,0.3
2010-06-01,0.14,0.67,-0.85
2010-06-02,0.28,-0.76,0.8
2010-06-03,-0.14,0.95,1.6
2010-06-04,0.89,0.97,1.5
2010-06-07,0.67,-3.6,1.4
2010-06-08,0.76,-0.25,2.75
2010-06-09,0.07,2.05,2
2010-06-10,-0.58,1.13,-0.95
2010-06-11,-0.12,-0.16,-1.55
2010-06-14,0.65,0.61,0.35
2010-06-15,0.87,0.01,-0.1
2010-06-16,-0.17,2.22,-0.65
2010-06-17,0.22,0.54,-0.1
2010-06-18,-0.26,-0.24,0.1
2010-06-21,0.13,1,-1.25
2010-06-22,-0.38,-0.74,-0.65
2010-06-23,0.02,-0.94,0.4
2010-06-24,0.02,-1.48,0
2010-06-25,-0.38,1.8,0
2010-06-28,0.13,0.16,-0.85
2010-06-29,0.95,-0.91,0.35
2010-06-30,0.21,-1.5,0.4
2010-07-01,0.34,-1.6,-0.15
2010-07-02,0.08,-1.82,-0.75
2010-07-05,0.67,-0.55,-0.2
2010-07-06,0.5,1,0.15
2010-07-07,-1.1,1.04,-0.65
2010-07-08,0.4,0.93,0.45
2010-07-09,-0.01,0.61,0.3
2010-07-12,-0.34,-0.14,-0.5
2010-07-13,-0.03,1.26,0
2010-07-14,-0.81,0.81,0.05
2010-07-15,-0.26,-0.39,-0.2
2010-07-16,-0.68,-0.92,-0.15
2010-07-19,0.03,0.72,0
2010-07-20,-1.21,-0.7,-0.1
2010-07-21,-0.82,0.7,-0.35
2010-07-22,0.75,0.72,0.15
2010-07-23,0.33,0.18,0.15
2010-07-26,-0.35,-0.19,0.1
2010-07-27,-0.72,0.34,0
2010-07-29,0.72,-0.09,0.05
2010-07-30,0.74,0.15,0
2010-08-02,0.55,2.89,2.1
2010-08-03,-0.26,1.6,0.45
2010-08-04,0.25,0.06,-0.25
2010-08-05,-0.07,-0.58,-0.1
2010-08-06,-0.33,-0.11,-0.4
2010-08-09,0.3,-0.79,-0.3
2010-08-10,-0.23,-0.25,-0.25
2010-08-11,0.05,-1.51,-1.05
2010-08-12,-0.25,-2.06,-0.35
2010-08-13,-0.05,-1.13,-0.2
2010-08-16,-0.45,-0.68,0.05
2010-08-17,-0.08,1.94,0.25
2010-08-18,-0.26,-0.83,-0.55
2010-08-19,0.23,0.31,0.1
2010-08-20,0.35,-1.4,-0.3
2010-08-23,-0.11,-0.87,0.45
2010-08-24,-0.38,-1.24,-0.55
2010-08-25,-0.15,0.24,-0.35
2010-08-26,0.35,1.65,0.1
2010-08-27,-0.2,1.38,0.2
2010-08-31,0.6,-0.13,-0.55
2010-09-01,-0.07,-0.04,-0.1
2010-09-02,0.17,0.38,0.08
2010-09-03,0.25,0.32,0.22
2010-09-06,-0.52,-0.28,-0.32
2010-09-07,0.07,1.14,-0.45
2010-09-08,0.27,0.53,-0.13
2010-09-09,0.21,-0.03,0.15
2010-09-10,-0.22,-0.43,0.05
2010-09-13,0.14,1.02,0.18
2010-09-14,-0.19,0.49,0.85
2010-09-15,0.04,-0.75,-0.31
2010-09-16,-0.15,0.49,0.38
2010-09-17,0.05,-0.17,0.33
2010-09-20,-0.15,0.45,-0.15
2010-09-21,-0.18,0.08,0.1
2010-09-22,0.18,-1.16,0.32
2010-09-23,0.1,-0.36,0.5
2010-09-24,0.31,0.92,-0.28
2010-09-27,-0.17,-0.2,2.43
2010-09-28,0.31,0.33,0.1
2010-09-29,0.21,1.4,0.7
2010-09-30,0.2,1.47,0.47
2010-10-01,-0.34,1.41,0.16
2010-10-04,0.26,0.6,-0.58
2010-10-05,-0.18,0.52,0.25
2010-10-06,-0.12,0.95,0.63
2010-10-07,-0.27,0.14,-0.05
2010-10-08,0.12,-1.43,-0.2
2010-10-11,0.27,0.09,0.7
2010-10-12,-0.08,-0.68,-0.01
2010-10-13,-0.09,0.98,0.98
2010-10-14,0.2,0.48,1.08
2010-10-15,-0.03,-0.96,-0.98
2010-10-18,-0.08,0,-0.1
2010-10-19,-0.17,-0.05,2.2
2010-10-20,0,-0.75,-1.7
2010-10-21,0,0.18,0.35
2010-10-22,0.01,-0.63,-0.35
2010-10-25,0.04,0.95,0.25
2010-10-26,0.275,-0.31,-0.1
2010-10-27,0.075,-0.22,0.35
2010-10-28,-0.2,0.18,-0.35
2010-10-29,-0.09,-0.26,0
2010-11-01,-0.21,1.95,6.9
2010-11-02,0.16,0.35,0.4
2010-11-03,0.09,1,-0.8
2010-11-04,-0.08,1.4,-0.45
2010-11-05,-0.21,0.51,-0.15
2010-11-08,-0.25,-0.08,-0.8
2010-11-09,0.04,0.3,-0.5
2010-11-10,0.13,0.3,0.9
2010-11-11,0.1,0.38,1.05
2010-11-12,0.21,-0.96,0.1
2010-11-15,0.65,-1.37,1.1
2010-11-16,-0.16,-0.66,-0.7
2010-11-17,0.02,-1.65,-0.5
2010-11-18,0.1,0.44,0.15
2010-11-19,0.07,0.65,0.05
2010-11-22,1.28,-0.7,0.55
2010-11-23,-0.29,-1.45,-0.2
2010-11-24,0.24,2.25,0.75
2010-11-25,-0.12,0.25,-0.45
2010-11-26,0.27,-0.55,0.05
2010-11-29,0.91,1.6,7.75
2010-11-30,0.08,0,0.25
2010-12-01,0.67,1.47,2.1
2010-12-02,0,1.82,1.45
2010-12-03,1.24,1.01,1.4
2010-12-06,-0.1,0.18,1.8
2010-12-07,-0.23,0.83,-0.95
2010-12-08,0.61,-1.12,-1.75
2010-12-09,-0.38,-0.1,-1.9
2010-12-10,-0.02,-0.07,-0.65
2010-12-13,-0.71,0.73,2.15
2010-12-14,0.03,-0.57,-0.4
2010-12-15,-0.69,0.69,0.1
2010-12-16,0.79,-0.13,0.55
2010-12-17,0.25,0.1,2.5
2010-12-20,0.25,0.51,0
2010-12-21,-0.85,0.6,0.4
2010-12-22,0.09,0.44,0.25
2010-12-23,0.01,0.6,-0.15
2010-12-24,0.19,0.2,0
2010-12-29,1,-0.36,3.75
2010-12-30,0.53,0.04,-0.85
2010-12-31,-0.52,0.78,0.2
